,Cluster
0,1.0
1,0.0
2,2.0
3,0.0
4,0.0
5,1.0
6,2.0
7,0.0
8,2.0
9,0.0
10,2.0
11,2.0
12,1.0
13,0.0
14,0.0
15,2.0
16,2.0
17,1.0
18,2.0
19,2.0
20,0.0
21,1.0
22,1.0
23,1.0
24,0.0
25,1.0
26,1.0
27,1.0
28,2.0
29,1.0
30,2.0
31,0.0
32,1.0
33,1.0
34,0.0
35,0.0
36,1.0
37,2.0
38,1.0
39,1.0
40,2.0
41,1.0
42,2.0
43,0.0
44,2.0
45,2.0
46,0.0
47,1.0
48,2.0
49,2.0
50,1.0
51,1.0
52,2.0
53,0.0
54,1.0
55,0.0
56,2.0
57,2.0
58,1.0
59,2.0
60,1.0
61,0.0
62,2.0
63,0.0
64,2.0
65,1.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,2.0
72,0.0
73,0.0
74,2.0
75,2.0
76,1.0
77,1.0
78,2.0
79,2.0
80,0.0
81,1.0
82,1.0
83,1.0
84,1.0
85,0.0
86,2.0
87,2.0
88,1.0
89,1.0
90,2.0
91,0.0
92,0.0
93,1.0
94,2.0
95,2.0
96,1.0
97,1.0
98,2.0
99,1.0
100,1.0
101,0.0
102,0.0
103,0.0
104,2.0
105,1.0
106,2.0
107,2.0
108,1.0
109,2.0
110,2.0
111,2.0
112,1.0
113,0.0
114,0.0
115,2.0
116,0.0
117,2.0
118,1.0
119,2.0
120,0.0
121,1.0
122,2.0
123,3.0
124,2.0
125,0.0
126,0.0
127,2.0
128,0.0
129,2.0
130,0.0
131,1.0
132,0.0
133,2.0
134,2.0
135,2.0
136,0.0
137,2.0
138,1.0
139,1.0
140,1.0
141,1.0
142,2.0
143,1.0
144,0.0
145,1.0
146,1.0
147,2.0
148,2.0
149,2.0
150,0.0
151,2.0
152,2.0
153,0.0
154,0.0
155,0.0
156,1.0
157,0.0
158,2.0
159,2.0
160,0.0
161,0.0
162,1.0
163,2.0
164,1.0
165,0.0
166,0.0
167,2.0
168,0.0
169,0.0
170,0.0
171,2.0
172,0.0
173,0.0
174,1.0
175,0.0
176,2.0
177,0.0
178,1.0
179,1.0
180,0.0
181,1.0
182,2.0
183,1.0
184,0.0
185,1.0
186,1.0
187,1.0
188,0.0
189,1.0
190,1.0
191,0.0
192,0.0
193,0.0
194,2.0
195,0.0
196,0.0
197,1.0
198,2.0
199,0.0
200,0.0
201,0.0
202,2.0
203,0.0
204,0.0
205,1.0
206,2.0
207,1.0
208,1.0
209,1.0
210,2.0
211,2.0
212,2.0
213,0.0
214,0.0
215,1.0
216,0.0
217,1.0
218,1.0
219,0.0
220,1.0
221,2.0
222,2.0
223,2.0
224,1.0
225,2.0
226,1.0
227,1.0
228,0.0
229,2.0
230,0.0
231,2.0
232,0.0
233,2.0
234,0.0
235,2.0
236,0.0
237,2.0
238,0.0
239,0.0
240,2.0
241,2.0
242,3.0
243,0.0
244,0.0
245,0.0
246,0.0
247,2.0
248,2.0
249,0.0
250,0.0
251,0.0
252,0.0
253,2.0
254,2.0
255,2.0
256,1.0
257,2.0
258,0.0
259,2.0
260,1.0
261,2.0
262,0.0
263,2.0
264,2.0
265,0.0
266,1.0
267,2.0
268,2.0
269,2.0
270,0.0
271,2.0
272,0.0
273,1.0
274,0.0
275,2.0
276,1.0
277,3.0
278,2.0
279,1.0
280,2.0
281,0.0
282,1.0
283,2.0
284,2.0
285,2.0
286,2.0
287,2.0
288,3.0
289,0.0
290,0.0
291,0.0
292,2.0
293,0.0
294,2.0
295,0.0
296,0.0
297,0.0
298,2.0
299,2.0
300,3.0
301,3.0
302,1.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,3.0
311,3.0
312,3.0
313,3.0
314,3.0
315,3.0
316,3.0
317,3.0
318,3.0
319,3.0
320,3.0
321,3.0
322,3.0
323,3.0
324,3.0
325,3.0
326,3.0
327,3.0
328,3.0
329,3.0
330,3.0
331,3.0
332,3.0
333,3.0
334,3.0
335,3.0
336,3.0
337,3.0
338,3.0
339,2.0
340,3.0
341,3.0
342,3.0
343,3.0
344,3.0
345,1.0
346,3.0
347,3.0
348,1.0
349,3.0
350,1.0
351,3.0
352,3.0
353,3.0
354,1.0
355,1.0
356,3.0
357,3.0
358,3.0
359,3.0
360,3.0
361,3.0
362,3.0
363,3.0
364,3.0
365,3.0
366,3.0
367,3.0
368,3.0
369,3.0
370,3.0
371,3.0
372,3.0
373,3.0
374,3.0
375,3.0
376,3.0
377,2.0
378,3.0
379,3.0
380,3.0
381,3.0
382,3.0
383,3.0
384,3.0
385,3.0
386,3.0
387,3.0
388,3.0
389,3.0
390,3.0
391,3.0
392,3.0
393,3.0
394,3.0
395,3.0
396,3.0
397,3.0
398,3.0
399,3.0
