station_id,station_name,station_name_kana,fuken_id,latitude,longitude,height,station_name_roman
47401,稚内,ワツカナイ,11,45.415,141.678333333,2.8,Watsukanai
47402,北見枝幸,キタミエサシ,11,44.94,142.585,6.7,Kitamiesashi
47404,羽幌,ハボロ,13,44.3633333333,141.7,7.9,Haboro
47405,雄武,オウム,17,44.58,142.963333333,13.8,Oumu
47406,留萌,ルモイ,13,43.945,141.631666667,23.6,Rumoi
47407,旭川,アサヒカワ,12,43.7566666667,142.371666667,120.0,Asahikawa
47409,網走,アバシリ,17,44.0166666667,144.278333333,37.6,Abashiri
47411,小樽,オタル,16,43.1816666667,141.016666667,24.9,Otaru
47412,札幌,サツポロ,14,43.06,141.328333333,17.2,Satsuporo
47413,岩見沢,イワミザワ,15,43.2116666667,141.785,42.3,Iwamizawa
47417,帯広,オビヒロ,20,42.9216666667,143.211666667,38.4,Obihiro
47418,釧路,クシロ,19,42.985,144.376666667,4.5,Kushiro
47420,根室,ネムロ,18,43.33,145.585,25.2,Nemuro
47421,寿都,スツツ,16,42.795,140.223333333,33.4,Sutsutsu
47423,室蘭,ムロラン,21,42.3116666667,140.975,39.9,Muroran
47424,苫小牧,トマコマイ,21,42.6233333333,141.546666667,6.3,Tomakomai
47426,浦河,ウラカワ,22,42.1616666667,142.776666667,36.7,Urakawa
47428,江差,エサシ,24,41.8666666667,140.123333333,3.7,Esashi
47430,函館,ハコダテ,23,41.8166666667,140.753333333,35.0,Hakodate
47433,倶知安,クツチヤン,16,42.9,140.756666667,176.1,Kutsuchiyan
47574,深浦,フカウラ,31,40.645,139.931666667,66.1,Fukaura
47575,青森,アオモリ,31,40.8216666667,140.768333333,2.8,Aomori
47576,むつ,ムツ,31,41.2833333333,141.21,2.9,Mutsu
47581,八戸,ハチノヘ,31,40.5266666667,141.521666667,27.1,Hachinohe
47582,秋田,アキタ,32,39.7166666667,140.098333333,6.3,Akita
47584,盛岡,モリオカ,33,39.6983333333,141.165,155.2,Morioka
47585,宮古,ミヤコ,33,39.6466666667,141.965,42.5,Miyako
47587,酒田,サカタ,35,38.9083333333,139.843333333,3.1,Sakata
47588,山形,ヤマガタ,35,38.255,140.345,152.5,Yamagata
47590,仙台,センダイ,34,38.2616666667,140.896666667,38.9,Sendai
47592,石巻,イシノマキ,34,38.4266666667,141.298333333,42.5,Ishinomaki
47595,福島,フクシマ,36,37.7583333333,140.47,67.4,Fukushima
47597,白河,シラカワ,36,37.1316666667,140.215,355.0,Shirakawa
47598,小名浜,オナハマ,36,36.9466666667,140.903333333,3.3,Onahama
47600,輪島,ワジマ,56,37.3916666667,136.895,5.2,Wajima
47602,相川,アイカワ,54,38.0283333333,138.24,5.5,Aikawa
47604,新潟,ニイガタ,54,37.9116666667,139.046666667,1.9,Niigata
47605,金沢,カナザワ,56,36.5883333333,136.633333333,5.7,Kanazawa
47606,伏木,フシキ,55,36.7916666667,137.055,11.6,Fushiki
47607,富山,トヤマ,55,36.7083333333,137.201666667,8.6,Toyama
47610,長野,ナガノ,48,36.6616666667,138.191666667,418.2,Nagano
47612,高田,タカダ,54,37.1066666667,138.246666667,12.9,Takada
47615,宇都宮,ウツノミヤ,41,36.5483333333,139.868333333,119.4,Utsunomiya
47616,福井,フクイ,57,36.055,136.221666667,8.8,Fukui
47617,高山,タカヤマ,52,36.155,137.253333333,560.0,Takayama
47618,松本,マツモト,48,36.245,137.97,610.0,Matsumoto
47620,諏訪,スワ,48,36.045,138.108333333,760.1,Suwa
47622,軽井沢,カルイザワ,48,36.3416666667,138.546666667,999.1,Karuizawa
47624,前橋,マエバシ,42,36.405,139.06,112.1,Maebashi
47626,熊谷,クマガヤ,43,36.15,139.38,30.0,Kumagaya
47629,水戸,ミト,40,36.38,140.466666667,29.3,Mito
47631,敦賀,ツルガ,57,35.6533333333,136.061666667,1.6,Tsuruga
47632,岐阜,ギフ,52,35.4,136.761666667,12.7,Gifu
47636,名古屋,ナゴヤ,51,35.1666666667,136.965,51.1,Nagoya
47637,飯田,イイダ,48,35.5233333333,137.821666667,516.4,Iida
47638,甲府,コウフ,49,35.6666666667,138.553333333,272.8,Koufu
47640,河口湖,カワグチコ,49,35.5,138.76,859.6,Kawaguchiko
